num_announcements,num_withdrawals,avg_as_path_length,max_as_path_length,std_as_path_length,duplicate_withdrawals,unique_withdrawn_prefixes,total_records,ann_wit_ratio,ann_diff,wit_diff,ann_roll_std,wit_roll_std
2290,230,5.096506550218341,25.0,2.9837750518430117,46,67,2520,9.913419913419913,696.0,-129.0,1097.5914541349837,289.31701182843705
36256,392,4.8463978375992935,24.0,2.046416296608403,62,210,36648,92.25445292620866,10128.0,-248.0,5396.255769837723,269.27309557373286
211,57,5.928909952606635,16.0,2.605074931642928,12,40,268,3.6379310344827585,-841.0,-50.0,422.30202478867506,27.300793639210408
737,39,5.457259158751696,16.0,2.3235283092606798,10,27,776,18.425,323.0,2.0,161.57454463448474,47.93050524804974
22488,1668,5.423203486303806,20.0,2.1470257365844434,217,374,24156,13.473936488915518,9699.0,543.0,7605.364488315938,588.0615047173258
6162,875,5.268906199285946,24.0,1.6500677367398568,132,169,7037,7.034246575342466,3137.0,507.0,1871.241388362245,271.52593491862444
694,126,6.881844380403458,13.0,2.283353883131047,40,79,820,5.464566929133858,203.0,53.0,129.9320340562838,27.790885796023353
9889,995,5.5624431186166445,30.0,2.1792857119720037,117,183,10884,9.92871485943775,2063.0,153.0,13482.827559534253,80.33886562799212
2176,320,5.474264705882353,16.0,1.938455507217075,58,84,2496,6.778816199376947,2.0,118.0,478.62441780768296,245.63658793795804
429,36,5.03030303030303,10.0,1.1753153230681697,7,27,465,11.594594594594595,202.0,-18.0,101.16488261982192,16.522711641860617
1051,195,5.686013320647003,14.0,1.996758647388691,61,132,1246,5.362244897959184,651.0,5.0,355.25249256536557,37.32291521304304
156,67,5.339743589743589,15.0,2.5305740578886264,21,35,223,2.2941176470588234,-293.0,-15.0,187.43265494761647,9.291573243175813
4646,476,5.070598364184245,15.0,1.9113389217099808,95,142,5122,9.740041928721174,2984.0,233.0,1520.443027541938,202.31905496129787
1662,326,4.85740072202166,13.0,1.7280867969547555,56,75,1988,5.08256880733945,-1846.0,9.0,1110.9797478759408,186.2498322146948
284,71,5.757042253521127,16.0,2.6164672959719364,12,56,355,3.9444444444444446,-6.0,-13.0,15.307954601055513,27.06165799305984
967,141,5.070320579110652,16.0,1.7368856224820255,51,90,1108,6.809859154929577,535.0,83.0,272.44510176052455,47.63402145525815
5970,281,4.826465661641541,16.0,1.3289848536695927,34,97,6251,21.170212765957448,-4999.0,-930.0,4834.444366573778,551.3147921106817
1912,182,4.787133891213389,17.0,2.005792278398117,31,63,2094,10.448087431693988,197.0,-54.0,153.31775283154315,65.30951947312833
2574,206,5.217560217560218,17.0,2.229644718421114,34,53,2780,12.434782608695652,371.0,-128.0,185.56490329049993,109.08253755976752
498,80,5.532128514056225,14.0,2.187030933656238,16,62,578,6.148148148148148,247.0,1.0,133.0000005284835,12.423096769055869
1650,238,5.3090909090909095,16.0,2.2041783511904725,45,90,1888,6.903765690376569,355.0,-82.0,177.56782795305836,53.304158686990256
575,73,5.354782608695652,15.0,1.7050433363489554,11,57,648,7.77027027027027,170.0,-13.0,1331.7756318063325,13.503086067015236
566,31,5.137809187279152,21.0,2.002317951559694,7,23,597,17.6875,381.0,-10.0,225.65534222331632,8.544003745316779
389,95,5.956298200514139,14.0,2.144075995641651,18,68,484,4.052083333333333,-272.0,26.0,163.43908184205867,29.051678092666076
2540,462,4.831889763779528,13.0,1.9581464127267776,66,85,3002,5.485961123110151,581.0,247.0,336.89315841604923,126.26295313128946
6607,428,5.520659906160133,16.0,1.6459300733592996,44,247,7035,15.400932400932401,4092.0,-18.0,2234.770458008472,712.5070759890907
11846,1504,4.627722437953739,17.0,1.4357844372124535,632,673,13350,7.8710963455149505,8371.0,1013.0,5243.807236495449,653.5969706172168
5819,198,4.42893968035745,13.0,1.1893557935343173,33,86,6017,29.241206030150753,-900.0,-329.0,1356.2394085561173,182.905257807986
1840,229,4.748913043478261,15.0,1.7389398672765488,48,69,2069,8.0,-839.0,-191.0,1200.0968016514432,131.86735759792853
3768,846,5.610934182590234,21.0,2.584127481095997,120,169,4614,4.448642266824085,2239.0,574.0,1222.919594055013,329.68065356240703
994,79,5.450704225352113,19.0,1.536963908286236,11,58,1073,12.425,85.0,9.0,220.9215550231804,13.203534880225567
360,31,6.091666666666667,13.0,1.9321655956177484,6,23,391,11.25,28.0,-48.0,16.77299834284778,31.749015732773376
2700,634,4.951111111111112,15.0,1.5787414897183214,107,133,3334,4.251968503937008,1051.0,314.0,525.899546989971,157.03821191035902
1283,188,5.385035074045207,17.0,2.165374918426659,46,57,1471,6.788359788359788,215.0,-4.0,179.27725320776,11.718930554139897
229,42,5.781659388646288,19.0,1.9946248396117332,11,29,271,5.325581395348837,-285.0,-6.0,282.0053193479321,11.372481406175849
2683,146,3.9537830786433097,16.0,1.0931748927603824,20,44,2829,18.25170068027211,1526.0,-4.0,802.5517637642812,128.76464318062895
1582,273,4.833122629582807,13.0,1.6797944711679869,42,58,1855,5.773722627737226,-532.0,-316.0,382.46742805685005,170.2860338763379
1697,532,4.929286977018268,13.0,1.892439823069059,89,115,2229,3.1838649155722325,293.0,109.0,146.93195769299405,152.3953192631991
5828,1134,6.1942347288949895,19.0,2.1535961484071846,24,1020,6962,5.134801762114537,197.0,715.0,2188.9314744869644,456.79134551106966
465,92,5.481720430107527,15.0,1.5325112033872188,13,70,557,5.0,-129.0,-50.0,89.5116387593941,40.41451884327465
