num_announcements,num_withdrawals,avg_as_path_length,max_as_path_length,std_as_path_length,duplicate_withdrawals,unique_withdrawn_prefixes,total_records,label
1484.0,153.0,4.956199460916442,22.0,1.219272728789388,20.0,126.0,1637.0,0
2129.0,366.0,5.406294034758102,17.0,1.89354489976552,50.0,310.0,2495.0,1
21239.0,2201.0,4.828193417769199,15.0,1.3673270308373306,428.0,1033.0,23440.0,1
8595.0,1444.0,5.477835951134381,17.0,1.8834117961907264,316.0,1075.0,10039.0,1
2847.0,432.0,5.002107481559537,13.0,2.080061345309222,61.0,85.0,3279.0,0
5910.0,1469.0,5.845008460236887,20.0,1.9791650698895469,380.0,1021.0,7379.0,1
7245.0,1249.0,4.597929606625259,15.0,1.6563143892339254,218.0,315.0,8494.0,1
8100.0,1211.0,4.097037037037037,18.0,1.701768466098871,255.0,306.0,9311.0,1
421.0,104.0,6.7007125890736345,16.0,2.5716755105663585,30.0,64.0,525.0,0
7577.0,1480.0,5.391183845849281,15.0,1.5839755775212605,180.0,233.0,9057.0,1
627.0,236.0,5.192982456140351,17.0,1.4693297861357966,74.0,149.0,863.0,0
4953.0,696.0,4.888148596810014,21.0,1.8481651932642629,214.0,254.0,5649.0,1
77797.0,1911.0,5.097715850225587,25.0,1.9491431166656008,212.0,748.0,79708.0,1
11690.0,1908.0,4.586655260906758,16.0,1.7234536273235697,393.0,525.0,13598.0,1
2268.0,596.0,4.825837742504409,13.0,1.769350799681091,105.0,126.0,2864.0,0
3027.0,551.0,4.973901552692435,13.0,1.200283280992132,132.0,174.0,3578.0,0
10067.0,2147.0,4.932651236714016,15.0,1.664354005712663,435.0,649.0,12214.0,1
7764.0,210.0,4.3183925811437405,16.0,1.5919739099173005,38.0,52.0,7974.0,0
2472.0,376.0,4.538025889967638,11.0,1.4191286763281752,80.0,103.0,2848.0,0
293.0,29.0,5.539249146757679,13.0,2.272253346877694,5.0,23.0,322.0,0
301.0,43.0,6.235880398671096,22.0,3.5156283690898475,9.0,28.0,344.0,0
572.0,111.0,5.454545454545454,12.0,1.7639643556302051,17.0,89.0,683.0,0
708.0,92.0,5.163841807909605,14.0,1.6195287512437702,21.0,65.0,800.0,0
642.0,69.0,5.158878504672897,15.0,1.6863915616657883,6.0,61.0,711.0,0
49851.0,1042.0,4.866341698260817,24.0,1.582210097715949,205.0,617.0,50893.0,1
883.0,423.0,5.755379388448471,17.0,1.96951913002039,142.0,213.0,1306.0,0
9015.0,855.0,4.787354409317803,21.0,1.824567610822578,177.0,222.0,9870.0,1
43672.0,202.0,3.5615497343835867,14.0,1.0983066859221482,37.0,64.0,43874.0,0
488.0,36.0,4.723360655737705,11.0,1.5308666305133318,8.0,23.0,524.0,0
36012.0,3727.0,4.9326335665889145,18.0,1.490636562980449,753.0,1615.0,39739.0,1
300.0,43.0,5.36,15.0,2.04215572373901,13.0,26.0,343.0,0
1878.0,240.0,4.815228966986155,16.0,2.179985008832613,78.0,138.0,2118.0,0
2390.0,220.0,4.840585774058577,15.0,1.7053034650509504,33.0,51.0,2610.0,0
2863.0,441.0,5.109675165909885,15.0,1.7230092105818866,70.0,175.0,3304.0,0
7571.0,1840.0,5.2534671773874,17.0,2.466486409632444,282.0,570.0,9411.0,1
2528.0,416.0,4.786787974683544,16.0,1.8252447727254888,60.0,109.0,2944.0,0
1176.0,196.0,4.871598639455782,20.0,1.8933313409968344,36.0,50.0,1372.0,0
4162.0,835.0,4.672032676597789,22.0,1.616776282070359,143.0,212.0,4997.0,1
6336.0,916.0,4.657828282828283,18.0,1.446879900081789,249.0,361.0,7252.0,1
696.0,64.0,5.765804597701149,16.0,1.8788088323415475,22.0,39.0,760.0,0
2849.0,394.0,4.716742716742717,14.0,1.3897295863097665,50.0,126.0,3243.0,0
3871.0,585.0,4.6507362438646345,23.0,1.947502384866566,107.0,182.0,4456.0,1
5604.0,1209.0,4.662740899357602,22.0,1.8869068902257708,160.0,451.0,6813.0,1
47677.0,37600.0,3.919772636701136,16.0,1.2938382657028196,391.0,36615.0,85277.0,1
303.0,91.0,5.676567656765677,18.0,2.318175872132102,6.0,79.0,394.0,0
10239.0,241.0,3.633362633069636,21.0,1.6267505487446263,48.0,68.0,10480.0,0
5117.0,504.0,5.318546023060387,15.0,1.687807614673314,133.0,165.0,5621.0,0
550.0,105.0,4.72,15.0,1.5856630388349453,36.0,66.0,655.0,0
3205.0,561.0,5.361622464898596,15.0,1.806719954279765,79.0,162.0,3766.0,1
2427.0,432.0,4.833951380304903,15.0,1.8119325227336125,64.0,85.0,2859.0,0
17868.0,3469.0,4.92013655697336,17.0,2.000434176999528,486.0,783.0,21337.0,1
5390.0,1041.0,5.539703153988868,18.0,2.1140489304513643,278.0,716.0,6431.0,1
32822.0,5519.0,4.727164706599233,17.0,1.845518874666645,892.0,1697.0,38341.0,1
349.0,54.0,5.598853868194842,15.0,2.1113959732183964,15.0,35.0,403.0,0
1941.0,244.0,4.917568263781556,14.0,1.6742451484804208,26.0,72.0,2185.0,0
451.0,83.0,5.70509977827051,19.0,2.104676595340852,15.0,61.0,534.0,0
150156.0,58709.0,4.431471269879325,19.0,1.5563931621064353,994.0,54449.0,208865.0,1
742.0,51.0,4.27088948787062,17.0,2.064509239549678,9.0,38.0,793.0,0
1889.0,227.0,6.311275807305453,16.0,2.7160454765826763,47.0,65.0,2116.0,0
27384.0,2676.0,4.374050540461584,21.0,1.188942633772848,1247.0,1261.0,30060.0,1
378.0,47.0,5.235449735449736,10.0,1.2237129871774273,10.0,30.0,425.0,0
4399.0,637.0,4.632189133894067,14.0,1.7478517336435528,122.0,190.0,5036.0,1
1246.0,360.0,5.466292134831461,14.0,2.016004238491852,53.0,65.0,1606.0,0
8892.0,3157.0,4.609536662168241,17.0,1.514078158091197,160.0,2547.0,12049.0,0
24492.0,1318.0,5.177813163481953,16.0,1.3475775907529883,300.0,836.0,25810.0,1
1572.0,305.0,5.480279898218829,17.0,2.398895615926194,41.0,54.0,1877.0,0
1476.0,331.0,6.9668021680216805,16.0,3.467559034051108,102.0,190.0,1807.0,0
2251.0,515.0,4.984895601954687,15.0,1.6493454742173923,68.0,127.0,2766.0,0
1139.0,114.0,5.114135206321334,18.0,1.971518541217767,12.0,94.0,1253.0,0
1717.0,293.0,4.682585905649389,14.0,1.6167457479094165,53.0,74.0,2010.0,0
4411.0,299.0,5.4264339152119705,15.0,1.866119660067849,46.0,75.0,4710.0,0
5710.0,1394.0,5.756917688266199,19.0,2.083905540855263,355.0,971.0,7104.0,1
45159.0,2333.0,4.4269359374654,20.0,1.1330836825351949,1065.0,1100.0,47492.0,1
267.0,83.0,7.224719101123595,17.0,3.440514754368655,11.0,68.0,350.0,0
2449.0,406.0,5.16700694160882,13.0,1.5432639443174103,60.0,110.0,2855.0,0
1795.0,88.0,5.774930362116992,16.0,1.2830742734740042,3.0,83.0,1883.0,0
3346.0,783.0,4.8332337118948,12.0,2.002310710226088,151.0,192.0,4129.0,1
9081.0,208.0,4.181147450721286,14.0,1.380604571912076,39.0,52.0,9289.0,0
2481.0,383.0,4.831922611850061,15.0,1.785438856464682,84.0,106.0,2864.0,0
17465.0,4389.0,5.686229602061266,19.0,2.378312862295206,574.0,915.0,21854.0,1
852.0,92.0,5.437793427230047,12.0,1.1717042739891743,17.0,72.0,944.0,0
